Username,Comment
@Techwithasideofcocoa,This channel is my dream for working solely on an iPad in the future. Keep going!
@AngelOtero,"I have the iPadPro 13"" and a MacBook Pro 14"" and for some strange reason I prefer the iPad a thousand times more than the MacBook Pro. 

I am a consultant in the area of technology, specifically data centers and virtualization and so far all the work I do I can do effectively from my iPad. 

Thank you for the effort to bring relevant content to the professional world beyond the world of content creation that YouTube has accustomed us to. 

The content of your videos is excellent. Keep going forward. Greetings from Puerto Rico"
@mannym7849,"Hi Tech Dad, great video! I have to say that I have had my M4 iPad Pro 13” since my birthday in January. I am loving it! It’s MORE THAN capable of handing all my productivity means that I do with it and I love how portable it is and I love the Magic Keyboard and the Pencil Pro. I don’t regret paying the £1,977.00 for the whole package as it has meant that my dependence on using my Lenovo laptop is getting lesser and lesser."
@calebmccalla9675,I am definitely one of those where my work lets me just use an iPad. I have the iPad Pro M2 and have zero accessories for it. It’s absolutely amazing how much stuff I can use the iPad for. Makes my life so much easier.
@rj-zn3cw,"I’m a software developer and I chose the iPad Pro M4 because of the more flexible and ergonomic form factor and because I wanted a touch device to unleash my creativity. I have had this device since November of 2024 and I don’t miss my MacBook at all. My only gripe is with the keyboards. The iPad Magic Keyboard (not often, but) sometimes fails to register key presses. I hope Apple reads this and rethinks the iPad connector. The Bluetooth Magic Keyboard also can disconnect itself on a rare occasion. This is less than optimal as typos can introduce bugs in my code. Other than that, the iPad Pro has been a solid device and I don’t plan to get a laptop ever again."
@anchoragedj," Just wanted to mention, like you I’ve switched - for nearly a year as well, and bought the OWC ‘Go’ Dock. With TB4 out of the iPad, you’re able to add another 13 I/O ports, including wired 2.5Gb/s Ethernet, USBA (3.2) x 3, two extra, independent Thunderbolt 4 ports in the dock with two ports for the I/O of additional peripherals, including displays. It also adds a standard USB C (3.2), SD slot, and more I’m forgetting, but IMO, the best part is a built in power supply, so NO wall warts! This will allow you to share your display (one of the things I forgot, the dock has HDMI), and two more independent TB4 controllers, literally opening your entire world up for ALL of your gigs! As well as extra external storage for usage and file management how you prefer to handle the way you want to do it. 
I agree, though, with you as far as the different apps and shortcomings, additional control of, or optional choice to turn off (swiping back)… etc. 

I make my mortgage - like you, doing a couple jobs; I run a business, work in broadcasting and my hustle is nightclub live ‘DJ’ing’. I use my m4 5G iPad at all three, for show prep in radio, as well as hosting our weekly meetings (I am a program director, as well as on air afternoon drive), and I have done our budgets on Excel as well as EBIT forecasting, as easily as I’d be able to on a desk/laptop. 

The incessant connectivity is a HUGE plus for me, especially with my business and signing contracts to hosting the event, wedding, party, etc… by using it’s connectivity for music playback, video and recording while live. Not until the M series iPads have I had the confidence in the device as a a primary but I am in a conundrum right now, strongly considering a Studio for the house, as I also do a lot of music production (Logic Pro/Ableton and a bazillion plug ins, that most, happen to be available for the iPad!)

But I’ve yet to be able - rather been unable to achieve what’s been necessary to capture on the iPad and produce the audio or video - as well as send it in the correct formats

The big miss for me is disc utility. While you can now erase drives and a few other tricks in files by long pressing on connected drives -  there’s no first aid, re-partitioning, or ‘fixing’ a corrupt drive. Nor is there an ‘Eject’ button, which makes pulling the dock line or drive from the dock a gamble, and one that corrupted the drive I had to use a Mac to fix.

Great content, excellent subject - and one that when asked, most can’t come up with a real reason why they need macOS vs an iPad. Most are not folding DNA, running billions of lines of code and simulations, or creating macros in Excel! The vast majority are checking messages, emails, writing a document or editing, consuming media, or printing an assignment.  All and soooooo much more that can be done easily on iPad - including the setup of your new printer!

Take care"
@ThatWellnessGuy,"This is a great real world summary of using iPad Pro as a computer. iPadOS has gotten so much better for productivity in recent years, but I've still struggled to make the full transition from a Mac/Macbook to my iPad Pro. As you mentioned, most apps fall short in comparison to their full-fledged MacOS equivalents. And of course, some apps simply don't exist or are just poorly reformatted from the iPhone apps. I wish they'd make a Surface-style MacBook that can be used in tablet or computer mode, making both devices obsolete. We know they could do it if they wanted to."
@kaischmidt730,that onedrive mess—I thought that was because I use a cheapo ipad 9. kinda happy to know that upgrading to an iPad pro wouldn't alleviate that pain.
@Beautybytracilei,"I primarily use an iPad Pro at home, although I just purchased a Mac mini for those times when I really do need a computer. I have a PC laptop that I use for work. I can almost do all of my work on the iPad, but there are some things in Excel that I just can’t do, or that the work around is too time-consuming to mess with on the iPad. Personally, I love the option of using the touchscreen, the keyboard or the pencil on my iPad. The versatility is unmatched in that way. I also much prefer working on an iPad to working on a laptop. The screen is just so much better and I feel that it is more seamless when switching between applications. I’m confident that there will be a day when the apps on the iPad are good enough to make it my only device. Just not today."
@ktt1977,"I have remote access my PC from my iPad Pro 13 if I need more advanced excel or word usage. Works nicely on a good connection. It helps to have cellular iPad, very useful"
